"","state","county_name","county_crime_2016","inactivity_2016","median_house_income_2016","pop_2016","rural_2016","rec_resource_2016","county_crime_2018","inactivity_2018","median_house_income_2018","pop_2018","rural_2018","rec_resource_2018","county_crime_2020","inactivity_2020","median_house_income_2020","pop_2020","rural_2020","rec_resource_2020"
"2419","SD","Campbell County",0,0.301,49895,1386,1,NA,24.242424242,0.244,47592,1378,1,0.2326057299,37.285607755,0.218,45737,1377,1,0.2230559345
"2420","SD","Charles Mix County",175.35802263,0.258,41395,9287,1,0.4851571914,165.65890831,0.231,41888,9396,1,0.6365428853,160.83137449,0.226,47412,9338,1,0.5491291489
"2421","SD","Clark County",13.464386697,0.267,48024,3645,1,0.4085613655,69.783670621,0.246,45997,3656,1,0.4169601734,110.55831951,0.284,48517,3739,1,0.4153345977
"2422","SD","Clay County",111.6230466,0.223,43453,13932,0.24321985,0.8065493364,265.86984142,0.202,42171,14086,0.24321985,0.843118869,243.46580738,0.197,46378,14041,0.24321985,0.8467974611
"2423","SD","Codington County",261.70398372,0.231,52892,27938,0.2246299629,0.7414698645,241.2948695,0.234,50355,28063,0.2246299629,0.6882873618,287.17180365,0.212,55580,28015,0.2246299629,0.8285525398
"2424","SD","Corson County",9.7876088871,0.292,31420,4182,1,0.0071604938,16.999575011,0.262,31267,4132,1,0.0177777778,11.803588291,0.263,34024,4165,1,0.0177777778
"2425","SD","Custer County",56.080756289,0.234,51244,8445,1,0.7614410906,63.046733391,0.22,51223,8596,1,0.7949123661,47.089293072,0.243,58806,8726,1,0.7949123661
"2426","SD","Davison County",216.5197828,0.241,48675,19885,0.2332342084,0.7719442166,319.50485112,0.221,50238,19903,0.2332342084,0.8289581624,414.54161747,0.215,51724,19790,0.2332342084,0.8362387203
"2427","SD","Day County",NA,0.259,43305,5588,1,0.0124343257,NA,0.25,43602,5571,1,0.3313485114,NA,0.297,48023,5505,1,0.3313485114
"2428","SD","Deuel County",30.32830389,0.304,51246,4312,1,0.3535747021,60.85964245,0.283,53517,4231,1,0.5623281393,34.734282737,0.269,55404,4337,1,0.3471585701
"2429","SD","Dewey County",24.770869458,0.307,34936,5662,0.6408224863,0.0069798151,17.869907076,0.274,38540,5742,0.6408224863,0.2524052066,0,0.272,41942,5904,0.6408224863,0.5378230523
"2430","SD","Douglas County",0,0.258,49251,2973,1,NA,33.244680851,0.217,48475,2932,1,0.5722851432,83.305564812,0.233,55159,2935,1,0.5026648901
"2431","SD","Edmunds County",0,0.26,57148,3983,1,0.3893392287,0,0.283,55477,3952,1,0.5620240727,24.959440909,0.312,58977,3875,1,0.4485384426
"2432","SD","Fall River County",80.637935669,0.246,42007,6845,0.4995771074,0.7502114463,168.02016242,0.207,44440,6849,0.4995771074,0.9295179025,171.79670723,0.195,46782,6758,0.4995771074,0.9295179025
"2433","SD","Faulk County",13.984058174,0.308,46633,2357,1,0.3498307953,13.919821826,0.285,47756,2354,1,0.0469543147,0,0.368,49068,2330,1,0.0469543147
"2434","SD","Grant County",NA,0.303,52816,7241,0.5536976618,0.6287384448,NA,0.237,55118,7148,0.5536976618,0.6352637303,NA,0.246,59813,7147,0.5536976618,0.6494018488
"2435","SD","Gregory County",NA,0.297,36836,4217,1,0.2102552096,NA,0.3,38338,4171,1,0.5357059237,NA,0.362,40583,4212,1,0.5357059237
"2436","SD","Haakon County",NA,0.277,43699,1847,1,0.424883841,NA,0.24,47596,1892,1,0.5539494063,NA,0.304,51801,1918,1,0.5689210119
"2437","SD","Hamlin County",111.58846175,0.241,53944,5989,1,0.2807047264,33.366700033,0.209,57575,6028,1,0.0221921057,49.846307219,0.214,65776,6111,1,0.0221921057
"2438","SD","Hand County",48.234613158,0.29,51201,3345,1,0.483823958,48.809058961,0.23,52592,3319,1,0.5572719324,29.806259314,0.21,52568,3262,1,0.5508598076
"2439","SD","Hanson County",19.768706138,0.26,61945,3419,1,0.2885019514,58.530875037,0.256,61242,3374,1,0.1395977184,29.368575624,0.22,63772,3376,1,0.1435004503
"2440","SD","Harding County",26.260504202,0.278,49220,1250,1,0.1864541833,51.282051282,0.257,53080,1278,1,0.5179282869,78.833267639,0.29,55017,1249,1,0.5179282869
"2441","SD","Hughes County",318.91453091,0.219,58340,17642,0.2527317589,0.7688873223,376.70130804,0.215,63468,17600,0.2527317589,0.8265773705,450.99985818,0.203,70093,17650,0.2527317589,0.8017859241
"2442","SD","Hutchinson County",22.610111242,0.314,48879,7200,1,0.4220345908,18.491979104,0.25,51786,7368,1,0.4620727223,27.808676307,0.204,54434,7380,1,0.4355168187
"2443","SD","Hyde County",NA,0.287,49184,1396,1,0.626056338,NA,0.231,51053,1352,1,0.6246478873,NA,0.188,52496,1282,1,0.5823943662
"2444","SD","Jackson County",NA,0.295,31922,3274,1,0.0108874959,NA,0.25,33881,3326,1,0.1474760805,NA,0.262,34122,3307,1,0.1474760805
"2445","SD","Jerauld County",0,0.282,48773,2007,1,0.4983099952,0,0.245,47468,2004,1,0.3843553839,0,0.262,47689,2043,1,0.3843553839
